level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2428	1816	-1	
2	1	1	0	0	0	260	12	1788	1190	-1	
3	1	1	1	0	0	260	1	1787	1201	-1	
4	1	1	1	1	0	266	12	1781	138	-1	
5	1	1	1	1	1	266	1	519	149	35.380966	AFAR.
5	1	1	1	1	2	1312	26	393	90	32.070145	mle
5	1	1	1	1	3	1704	27	303	158	0.000000	10ml
4	1	1	1	2	0	305	245	1743	205	-1	
5	1	1	1	2	1	305	314	51	122	62.393032	:
5	1	1	1	2	2	367	300	92	132	86.692627	센
5	1	1	1	2	3	478	284	142	135	94.485931	티드
5	1	1	1	2	4	741	338	43	99	89.278847	ㆍ
5	1	1	1	2	5	1218	308	370	124	56.524071	6,600.
5	1	1	1	2	6	1700	306	118	76	63.381721	14
5	1	1	1	2	7	1832	245	216	205	35.185394	700.
4	1	1	1	3	0	352	441	1649	179	-1	
5	1	1	1	3	1	268	481	44	101	52.446747	.
5	1	1	1	3	2	338	480	93	140	63.380707	펄
5	1	1	1	3	3	478	462	662	148	62.503242	1670/1798/350-
5	1	1	1	3	4	1220	448	115	170	65.531532	‘5;
5	1	1	1	3	5	1324	508	262	138	58.699192	600°
5	1	1	1	3	6	1752	508	70	90	58.699192	9,
5	1	1	1	3	7	1833	441	168	179	93.670609	700
4	1	1	1	4	0	261	633	1753	261	-1	
5	1	1	1	4	1	261	666	17	26	68.077827	|
5	1	1	1	4	2	329	633	467	261	70.266800	크리에이션
5	1	1	1	4	3	836	696	360	142	95.167336	아티스트
5	1	1	1	4	4	1270	704	46	76	95.167336	6
5	1	1	1	4	5	1324	642	216	237	76.334641	000
5	1	1	1	4	6	1665	686	349	108	50.911057	10,500
4	1	1	1	5	0	260	1034	1769	168	-1	
5	1	1	1	5	1	260	1138	80	26	66.158432	_.
5	1	1	1	5	2	381	1034	114	148	93.052208	제
5	1	1	1	5	3	519	1042	90	140	92.896362	이
5	1	1	1	5	4	672	1072	62	106	92.576324	허
5	1	1	1	5	5	790	1190	24	12	42.917572	빈
5	1	1	1	5	6	1312	1082	154	82	5.835007	ml
5	1	1	1	5	7	1776	1083	253	81	56.579636	10m:
2	1	2	0	0	0	1129	1315	1088	172	-1	
3	1	2	1	0	0	1129	1315	1088	172	-1	
4	1	2	1	1	0	1129	1315	1088	172	-1	
5	1	2	1	1	1	1242	1332	264	150	28.809341	42200
5	1	2	1	1	2	1577	1374	1	10	37.197880	ㆍ
5	1	2	1	1	3	1688	1346	428	141	39.077599	6,900.
5	1	2	1	1	4	2191	1315	26	65	37.645729	©
