level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2334	1816	-1	
2	1	1	0	0	0	311	142	1625	158	-1	
3	1	1	1	0	0	311	142	1625	158	-1	
4	1	1	1	1	0	311	142	1625	158	-1	
5	1	1	1	1	1	311	192	93	74	93.261932	도
5	1	1	1	1	2	433	182	55	118	93.298561	미
5	1	1	1	1	3	527	143	73	133	91.739937	넌
5	1	1	1	1	4	622	170	63	96	93.301491	트
5	1	1	1	1	5	728	142	455	138	96.012726	인더스트리
5	1	1	1	1	6	1275	168	154	100	75.620285	521
5	1	1	1	1	7	1598	177	97	99	26.014565	|
5	1	1	1	1	8	1738	186	198	82	50.533363	10m
2	1	2	0	0	0	971	374	21	16	-1	
3	1	2	1	0	0	971	374	21	16	-1	
4	1	2	1	1	0	971	374	21	16	-1	
5	1	2	1	1	1	971	374	21	16	63.801949	=
2	1	3	0	0	0	164	412	1786	568	-1	
3	1	3	1	0	0	164	412	1786	568	-1	
4	1	3	1	1	0	164	412	1786	169	-1	
5	1	3	1	1	1	164	413	510	145	61.490089	AME
5	1	3	1	1	2	793	530	16	55	22.564690	.
5	1	3	1	1	3	1032	422	32	114	34.931404	 .
5	1	3	1	1	4	1110	425	47	156	30.243546	-
5	1	3	1	1	5	1230	412	238	146	20.588135	4,300
5	1	3	1	1	6	1713	421	237	143	73.612122	7100
4	1	3	1	2	0	228	632	1722	140	-1	
5	1	3	1	2	1	228	650	364	119	30.106659	go
5	1	3	1	2	2	1179	632	330	140	46.417770	4,900.
5	1	3	1	2	3	1566	686	45	44	89.849625	=
5	1	3	1	2	4	1714	668	236	90	91.995895	8,300
4	1	3	1	3	0	296	822	1654	158	-1	
5	1	3	1	3	1	296	840	100	108	93.271469	캘
5	1	3	1	3	2	416	841	72	110	93.253044	리
5	1	3	1	3	3	494	834	292	120	83.939011	그라피,
5	1	3	1	3	4	852	856	104	95	83.939011	센
5	1	3	1	3	5	1004	868	67	68	93.113297	티
5	1	3	1	3	6	1070	818	73	166	61.319031	드
5	1	3	1	3	7	1232	822	236	158	66.682190	5,300
5	1	3	1	3	8	1606	818	178	166	53.651966	—-9,
5	1	3	1	3	9	1804	854	146	86	88.231728	100
2	1	4	0	0	0	304	1120	94	14	-1	
3	1	4	1	0	0	304	1120	94	14	-1	
4	1	4	1	1	0	304	1120	94	14	-1	
5	1	4	1	1	1	304	1130	4	4	93.633766	a
5	1	4	1	1	2	366	1120	32	11	92.459778	~
2	1	5	0	0	0	602	1190	24	12	-1	
3	1	5	1	0	0	602	1190	24	12	-1	
4	1	5	1	1	0	602	1190	24	12	-1	
5	1	5	1	1	1	602	1190	24	12	90.610474	=
