level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2428	1978	-1	
2	1	1	0	0	0	259	14	1888	1374	-1	
3	1	1	1	0	0	287	14	1865	348	-1	
4	1	1	1	1	0	287	14	1777	160	-1	
5	1	1	1	1	1	287	36	31	12	0.000000	*
5	1	1	1	1	2	363	14	315	160	61.092373	150214
5	1	1	1	1	3	989	14	517	140	33.886772	4,750
5	1	1	1	1	4	1722	15	342	150	29.691292	~—-8,000-
4	1	1	1	2	0	284	208	1767	148	-1	
5	1	1	1	2	1	284	250	394	157	19.314888	1608
5	1	1	1	2	2	792	272	1	20	32.775925	~
5	1	1	1	2	3	1273	208	233	148	70.739540	3,300
5	1	1	1	2	4	1752	258	236	92	70.739540	5,100
5	1	1	1	2	5	2106	312	46	50	28.544647	-
3	1	1	2	0	0	259	366	1888	1022	-1	
4	1	1	2	1	0	498	372	1574	212	-1	
5	1	1	2	1	1	498	372	473	212	0.059746	(awe
5	1	1	2	1	2	1080	382	6	4	0.000000	OC
4	1	1	2	2	0	259	580	1729	240	-1	
5	1	1	2	2	1	259	580	469	240	3.126999	“aa
5	1	1	2	2	2	772	662	51	64	36.964130	인
5	1	1	2	2	3	1180	590	448	156	0.000000	100°
5	1	1	2	2	4	1752	614	236	132	36.353600	6:700
4	1	1	2	3	0	266	774	1781	216	-1	
5	1	1	2	3	1	266	774	172	216	36.031078	A
5	1	1	2	3	2	494	848	86	91	92.865265	센
5	1	1	2	3	3	621	848	106	148	92.911667	티
5	1	1	2	3	4	783	917	3	4	92.695953	드
5	1	1	2	3	5	857	904	16	71	71.072594	ㆍ
5	1	1	2	3	6	932	813	148	141	87.553871	ㆍ.
5	1	1	2	3	7	1238	804	268	142	71.210960	‘4;400
5	1	1	2	3	8	1676	870	28	100	63.397987	ㆍ
5	1	1	2	3	9	1732	800	315	156	56.242985	7,300
5	1	1	2	3	10	2017	795	34	179	42.034874	:
4	1	1	2	4	0	282	992	1865	226	-1	
5	1	1	2	4	1	282	1000	57	126	61.667492	_
5	1	1	2	4	2	352	1044	78	95	89.114677	쉬
5	1	1	2	4	3	453	1044	59	95	91.127472	머
5	1	1	2	4	4	534	1116	13	26	92.957237	,
5	1	1	2	4	5	594	992	345	226	58.272789	익스트림
5	1	1	2	4	6	999	1006	144	160	50.157394	a
5	1	1	2	4	7	1270	1017	332	125	57.759800	5.000
5	1	1	2	4	8	1584	1000	54	170	76.951080	-
5	1	1	2	4	9	1651	1004	397	162	32.122177	'8,500
4	1	1	2	5	0	306	1182	1763	206	-1	
5	1	1	2	5	1	350	1202	332	208	72.564644	카멜레온,
5	1	1	2	5	2	741	1256	75	99	92.917198	스
5	1	1	2	5	3	827	1250	73	88	85.355316	타
5	1	1	2	5	4	902	1250	686	138	72.875801	브라이트
5	1	1	2	5	5	1283	1186	214	228	86.222046	5,300
5	1	1	2	5	6	1539	1186	44	228	69.924522	ㆍ
5	1	1	2	5	7	1700	1182	288	192	48.751446	9,100
5	1	1	2	5	8	2030	1305	39	75	80.332771	.
2	1	2	0	0	0	261	1471	1857	285	-1	
3	1	2	1	0	0	261	1471	1857	285	-1	
4	1	2	1	1	0	261	1471	1857	285	-1	
5	1	2	1	1	1	261	1471	303	255	35.204056	=
5	1	2	1	1	2	696	1586	84	31	0.000000	a
5	1	2	1	1	3	1316	1631	248	125	50.884254	sml-
5	1	2	1	1	4	1665	1614	32	44	31.095299	0
5	1	2	1	1	5	1754	1604	222	108	33.277695	1001
2	1	3	0	0	0	319	1890	1776	88	-1	
3	1	3	1	0	0	319	1890	1776	88	-1	
4	1	3	1	1	0	319	1890	1776	88	-1	
5	1	3	1	1	1	319	1916	205	62	32.907394	가)
5	1	3	1	1	2	886	1946	4	6	47.331184	|
5	1	3	1	1	3	1271	1916	50	62	52.098866	A
5	1	3	1	1	4	1354	1890	192	88	58.058487	000~
5	1	3	1	1	5	1758	1916	232	62	42.489914	5700
5	1	3	1	1	6	2062	1918	33	15	48.197769	>
