level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1166	990	-1	
2	1	1	0	0	0	150	0	904	474	-1	
3	1	1	1	0	0	150	0	824	282	-1	
4	1	1	1	1	0	150	0	816	39	-1	
5	1	1	1	1	1	150	0	37	37	40.756035	am
5	1	1	1	1	2	210	0	33	37	23.439095	ee
5	1	1	1	1	3	636	0	77	39	44.848331	Jitu
5	1	1	1	1	4	868	0	98	22	0.000000	alii
4	1	1	1	2	0	154	97	820	75	-1	
5	1	1	1	2	1	154	120	181	52	67.065086	스탠다드
5	1	1	1	2	2	351	149	17	21	0.000000	-
5	1	1	1	2	3	614	97	118	72	92.055115	2.500
5	1	1	1	2	4	856	124	118	45	68.608650	3,500
4	1	1	1	3	0	154	208	820	74	-1	
5	1	1	1	3	1	154	208	228	58	92.975052	이
5	1	1	1	3	2	221	204	47	82	93.275154	로
5	1	1	1	3	3	267	204	53	82	91.457779	시
5	1	1	1	3	4	319	204	57	82	64.902733	주
5	1	1	1	3	5	375	204	37	82	41.348572	구
5	1	1	1	3	6	610	222	122	55	60.921425	4,300
5	1	1	1	3	7	855	222	119	45	56.954006	 7,100
3	1	1	2	0	0	154	406	900	68	-1	
4	1	1	2	1	0	154	406	900	68	-1	
5	1	1	2	1	1	154	406	106	55	96.435822	파카
5	1	1	2	1	2	468	441	2	3	0.000000	'
5	1	1	2	1	3	636	414	77	40	85.401176	5ml
5	1	1	2	1	4	868	414	98	60	69.029938	10ml
2	1	2	0	0	0	155	532	819	79	-1	
3	1	2	1	0	0	155	532	819	79	-1	
4	1	2	1	1	0	155	532	819	79	-1	
5	1	2	1	1	1	155	532	165	79	27.214577	Qa.
5	1	2	1	1	2	375	553	1	2	77.561584	ㆍ
5	1	2	1	1	3	448	558	2	2	16.159370	、
5	1	2	1	1	4	582	542	211	59	9.902969	3,200.、
5	1	2	1	1	5	854	532	120	69	18.353363	4,900
2	1	3	0	0	0	112	698	929	116	-1	
3	1	3	1	0	0	52	698	989	116	-1	
4	1	3	1	1	0	112	698	929	116	-1	
5	1	3	1	1	1	52	712	74	69	57.223949	~
5	1	3	1	1	2	156	734	46	61	92.625671	페
5	1	3	1	1	3	214	712	39	83	93.263412	리
5	1	3	1	1	4	268	698	44	88	93.262993	스
5	1	3	1	1	5	314	727	48	67	54.386059	휠
5	1	3	1	1	6	376	716	156	98	93.758232	프레스
5	1	3	1	1	7	562	778	22	28	54.921055	ㆍ
5	1	3	1	1	8	636	708	76	78	31.069206	ml
5	1	3	1	1	9	746	710	64	94	0.000000	-
5	1	3	1	1	10	868	746	98	40	41.450191	10ml
5	1	3	1	1	11	1036	760	5	6	51.455608	ㆍ
2	1	4	0	0	0	154	864	820	86	-1	
3	1	4	1	0	0	154	864	820	86	-1	
4	1	4	1	1	0	154	864	820	86	-1	
5	1	4	1	1	1	154	884	181	52	96.266983	스탠다드
5	1	4	1	1	2	367	864	58	86	47.008011	대
5	1	4	1	1	3	476	887	12	13	47.864372	-
5	1	4	1	1	4	614	870	190	63	32.607506	 5.700
5	1	4	1	1	5	760	866	20	77	3.455513	:
5	1	4	1	1	6	799	866	39	77	17.083977	..
5	1	4	1	1	7	856	888	118	45	96.905334	9,900
