level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1166	908	-1	
2	1	1	0	0	0	60	38	980	367	-1	
3	1	1	1	0	0	60	38	980	367	-1	
4	1	1	1	1	0	154	38	820	86	-1	
5	1	1	1	1	1	154	58	181	52	97.009499	스탠다드
5	1	1	1	1	2	367	38	58	86	46.937523	대
5	1	1	1	1	3	475	61	13	13	37.304787	~
5	1	1	1	1	4	614	44	152	63	56.304855	5,700
5	1	1	1	1	5	759	40	25	77	23.868942	:
5	1	1	1	1	6	801	90	3	2	47.522655	..
5	1	1	1	1	7	856	62	118	45	96.487991	9,900
4	1	1	1	2	0	60	142	926	82	-1	
5	1	1	1	2	1	60	142	237	76	8.939354	Sg
5	1	1	1	2	2	488	177	43	27	60.731155	-
5	1	1	1	2	3	614	162	118	51	62.286812	6,700
5	1	1	1	2	4	793	162	18	16	79.182121	~
5	1	1	1	2	5	831	162	155	62	96.252426	11,900
4	1	1	1	3	0	156	334	884	71	-1	
5	1	1	1	3	1	156	334	158	71	96.863068	펠리칸
5	1	1	1	3	2	628	356	85	41	76.748627	Sml
5	1	1	1	3	3	785	344	19	19	46.651962	7
5	1	1	1	3	4	868	356	98	40	43.587151	1021
2	1	2	0	0	0	154	487	820	165	-1	
3	1	2	1	0	0	154	487	820	165	-1	
4	1	2	1	1	0	154	487	820	68	-1	
5	1	2	1	1	1	154	498	98	57	95.200836	4001
5	1	2	1	1	2	500	487	232	65	54.152111	2300
5	1	2	1	1	3	777	483	24	76	31.161583	_
5	1	2	1	1	4	856	498	118	45	74.523239	3,100
4	1	2	1	2	0	154	574	820	78	-1	
5	1	2	1	2	1	154	574	224	78	45.779419	paste
5	1	2	1	2	2	534	596	198	47	28.216080	 4.500
5	1	2	1	2	3	855	596	119	45	43.029705	 7,500
