level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1214	990	-1	
2	1	1	0	0	0	138	155	27	17	-1	
3	1	1	1	0	0	138	155	27	17	-1	
4	1	1	1	1	0	138	155	27	17	-1	
5	1	1	1	1	1	138	155	27	17	95.000000	 
2	1	2	0	0	0	163	767	21	18	-1	
3	1	2	1	0	0	163	767	21	18	-1	
4	1	2	1	1	0	163	767	21	18	-1	
5	1	2	1	1	1	163	767	21	18	95.000000	 
2	1	3	0	0	0	454	552	18	23	-1	
3	1	3	1	0	0	454	552	18	23	-1	
4	1	3	1	1	0	454	552	18	23	-1	
5	1	3	1	1	1	454	552	18	23	95.000000	 
2	1	4	0	0	0	768	338	18	13	-1	
3	1	4	1	0	0	768	338	18	13	-1	
4	1	4	1	1	0	768	338	18	13	-1	
5	1	4	1	1	1	768	338	18	13	95.000000	 
2	1	5	0	0	0	719	817	55	75	-1	
3	1	5	1	0	0	719	817	55	75	-1	
4	1	5	1	1	0	719	817	55	75	-1	
5	1	5	1	1	1	719	817	55	75	95.000000	 
2	1	6	0	0	0	771	710	12	13	-1	
3	1	6	1	0	0	771	710	12	13	-1	
4	1	6	1	1	0	771	710	12	13	-1	
5	1	6	1	1	1	771	710	12	13	95.000000	 
2	1	7	0	0	0	993	688	15	19	-1	
3	1	7	1	0	0	993	688	15	19	-1	
4	1	7	1	1	0	993	688	15	19	-1	
5	1	7	1	1	1	993	688	15	19	95.000000	 
2	1	8	0	0	0	1137	340	23	12	-1	
3	1	8	1	0	0	1137	340	23	12	-1	
4	1	8	1	1	0	1137	340	23	12	-1	
5	1	8	1	1	1	1137	340	23	12	52.024010	‘4
2	1	9	0	0	0	1153	777	22	9	-1	
3	1	9	1	0	0	1153	777	22	9	-1	
4	1	9	1	1	0	1153	777	22	9	-1	
5	1	9	1	1	1	1153	777	22	9	62.305870	Ne
