level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2428	1814	-1	
2	1	1	0	0	0	0	8	1799	708	-1	
3	1	1	1	0	0	0	8	1799	708	-1	
4	1	1	1	1	0	783	8	67	17	-1	
5	1	1	1	1	1	783	21	3	4	52.914066	러
5	1	1	1	1	2	840	8	10	10	35.327393	-
4	1	1	1	2	0	54	30	1634	37	-1	
5	1	1	1	2	1	54	54	6	4	62.558456	-
5	1	1	1	2	2	1019	30	55	28	33.060913	ve
5	1	1	1	2	3	1685	63	3	4	9.405785	,
4	1	1	1	3	0	266	68	1439	26	-1	
5	1	1	1	3	1	266	80	10	9	0.000000	.
5	1	1	1	3	2	866	77	7	2	19.545204	_
5	1	1	1	3	3	1684	68	21	6	43.151165	tu
4	1	1	1	4	0	298	96	706	18	-1	
5	1	1	1	4	1	298	104	28	5	46.996189	고조
5	1	1	1	4	2	712	96	6	4	50.652119	。
5	1	1	1	4	3	918	96	16	9	50.758331	a
5	1	1	1	4	4	996	110	8	4	29.698372	.
4	1	1	1	5	0	292	128	851	24	-1	
5	1	1	1	5	1	292	136	8	4	21.342216	-
5	1	1	1	5	2	312	128	27	15	30.362862	Se
5	1	1	1	5	3	736	146	10	6	53.660172	뻐
5	1	1	1	5	4	1136	143	7	5	8.941177	리
4	1	1	1	6	0	54	154	1108	20	-1	
5	1	1	1	6	1	54	170	10	4	78.269623	-
5	1	1	1	6	2	282	165	5	7	55.460529	>
5	1	1	1	6	3	326	156	7	7	32.033417	*
5	1	1	1	6	4	743	165	17	6	88.590546	…
5	1	1	1	6	5	917	154	17	14	7.490654	a
5	1	1	1	6	6	980	159	23	11	34.358826	”
5	1	1	1	6	7	1156	164	6	8	13.912575	’
4	1	1	1	7	0	822	190	780	10	-1	
5	1	1	1	7	1	822	192	3	3	72.804718	°
5	1	1	1	7	2	1577	190	25	10	36.877121	xe
4	1	1	1	8	0	316	214	813	16	-1	
5	1	1	1	8	1	316	227	4	3	24.815742	é
5	1	1	1	8	2	918	214	15	10	91.963531	=
5	1	1	1	8	3	1126	218	3	3	0.000000	:
4	1	1	1	9	0	0	214	1160	166	-1	
5	1	1	1	9	1	0	215	28	47	37.242359	a
5	1	1	1	9	2	47	219	9	39	82.819214	|
5	1	1	1	9	3	178	229	14	7	91.683517	~
5	1	1	1	9	4	776	236	12	6	54.333656	a
5	1	1	1	9	5	926	232	8	8	49.443417	v
5	1	1	1	9	6	950	218	104	162	91.406342	T
5	1	1	1	9	7	1065	214	11	44	54.356888	»
5	1	1	1	9	8	1083	218	8	36	81.969414	|
5	1	1	1	9	9	1155	248	5	4	55.596237	.
4	1	1	1	10	0	0	216	834	172	-1	
5	1	1	1	10	1	0	336	35	52	24.369278	-_
5	1	1	1	10	2	56	340	17	40	78.160561	|
5	1	1	1	10	3	329	218	140	163	89.827866	L
5	1	1	1	10	4	574	218	55	162	85.835876	I
5	1	1	1	10	5	748	216	86	168	89.807205	S
4	1	1	1	11	0	324	385	856	27	-1	
5	1	1	1	11	1	324	396	13	7	55.136475	2
5	1	1	1	11	2	583	391	21	11	15.890617	건
5	1	1	1	11	3	774	385	8	4	56.570045	=
5	1	1	1	11	4	1159	396	21	16	12.606903	i
4	1	1	1	12	0	558	426	694	15	-1	
5	1	1	1	12	1	558	436	8	5	68.959602	ㆍ
5	1	1	1	12	2	748	428	10	8	75.742340	~
5	1	1	1	12	3	1243	426	9	4	84.916962	=
4	1	1	1	13	0	555	470	678	27	-1	
5	1	1	1	13	1	555	488	14	6	45.599762	=
5	1	1	1	13	2	778	492	10	5	66.877106	.
5	1	1	1	13	3	1220	470	13	22	56.527489	>
4	1	1	1	14	0	304	502	122	12	-1	
5	1	1	1	14	1	304	503	8	11	21.612030	된
5	1	1	1	14	2	414	502	12	9	31.549629	~
4	1	1	1	15	0	0	522	1516	8	-1	
5	1	1	1	15	1	0	522	1516	8	12.566292	SS
4	1	1	1	16	0	268	541	1070	15	-1	
5	1	1	1	16	1	268	552	6	4	33.141563	.
5	1	1	1	16	2	989	552	5	4	53.049911	e
5	1	1	1	16	3	1316	541	22	13	64.940613	=
4	1	1	1	17	0	774	555	366	23	-1	
5	1	1	1	17	1	774	555	51	23	9.401489	4,
5	1	1	1	17	2	1134	563	6	4	40.812569	ry
4	1	1	1	18	0	276	577	1069	27	-1	
5	1	1	1	18	1	276	585	9	19	53.354515	a
5	1	1	1	18	2	1310	577	35	26	63.963074	“=
4	1	1	1	19	0	338	629	1002	13	-1	
5	1	1	1	19	1	338	634	13	8	65.564072	a
5	1	1	1	19	2	1322	629	18	11	87.501419	2
4	1	1	1	20	0	1777	708	22	8	-1	
5	1	1	1	20	1	1777	708	22	8	82.840736	~
2	1	2	0	0	0	93	828	2124	986	-1	
3	1	2	1	0	0	58	828	2159	823	-1	
4	1	2	1	1	0	355	828	1763	140	-1	
5	1	2	1	1	1	355	858	159	110	92.289536	디
5	1	2	1	1	2	517	858	115	110	93.070564	아
5	1	2	1	1	3	666	863	10	7	64.610458	민
5	1	2	1	1	4	1313	828	251	130	53.186691	5021
5	1	2	1	1	5	1777	834	341	116	50.020149	10217
4	1	2	1	2	0	93	1120	1936	156	-1	
5	1	2	1	2	1	93	1246	9	22	45.640327	 、
5	1	2	1	2	2	329	1124	383	119	12.491806	스탠다드
5	1	2	1	2	3	1183	1120	323	156	32.749908	3,800
5	1	2	1	2	4	1616	1116	69	164	24.273499	=
5	1	2	1	2	5	1685	1125	344	119	24.273499	6,100
4	1	2	1	3	0	352	1311	1865	163	-1	
5	1	2	1	3	1	58	1316	240	116	10.967293	(o>.
5	1	2	1	3	2	352	1346	258	95	49.889484	ang
5	1	2	1	3	3	905	1314	31	96	16.875916	1
5	1	2	1	3	4	1064	1311	442	163	56.381699	40600
5	1	2	1	3	5	1574	1396	1	10	25.650421	-
5	1	2	1	3	6	1751	1354	237	90	49.268250	7,700
5	1	2	1	3	7	2191	1337	26	65	54.858990	-
4	1	2	1	4	0	98	1501	2058	150	-1	
5	1	2	1	4	1	98	1510	8	6	8.214218	.
5	1	2	1	4	2	287	1522	391	114	8.214218	 、150
5	1	2	1	4	3	498	1496	100	158	93.267654	주
5	1	2	1	4	4	597	1496	80	158	96.129379	년
5	1	2	1	4	5	989	1521	517	119	9.782822	«4,750
5	1	2	1	4	6	1722	1501	342	150	27.890816	 8,000-
3	1	2	2	0	0	285	1694	1841	120	-1	
4	1	2	2	1	0	285	1694	1841	120	-1	
5	1	2	2	1	1	285	1736	387	78	30.480301	4160219
5	1	2	2	1	2	755	1758	31	20	88.470421	-
5	1	2	2	1	3	1273	1694	233	120	15.944839	3300
5	1	2	2	1	4	1752	1697	298	117	9.840393	4100
