level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1166	990	-1	
2	1	1	0	0	0	152	34	901	70	-1	
3	1	1	1	0	0	152	34	901	70	-1	
4	1	1	1	1	0	152	34	901	70	-1	
5	1	1	1	1	1	152	37	85	51	93.288269	콘
5	1	1	1	1	2	264	15	84	94	78.639984	클린
5	1	1	1	1	3	636	40	77	40	43.750286	(Sm
5	1	1	1	1	4	868	40	98	40	62.438904	1024
2	1	2	0	0	0	155	167	819	73	-1	
3	1	2	1	0	0	155	167	819	73	-1	
4	1	2	1	1	0	155	167	819	73	-1	
5	1	2	1	1	1	155	167	104	67	86.006859	60ml
5	1	2	1	1	2	274	178	90	62	86.630081	제품
5	1	2	1	1	3	614	182	118	45	50.719200	3,600
5	1	2	1	1	4	776	186	16	9	81.883415	ㆍ
5	1	2	1	1	5	855	182	119	45	90.473167	5,700
2	1	3	0	0	0	154	258	820	78	-1	
3	1	3	1	0	0	154	258	820	78	-1	
4	1	3	1	1	0	154	258	820	78	-1	
5	1	3	1	1	1	154	280	104	40	83.578140	90ml
5	1	3	1	1	2	274	278	90	58	95.489639	제품
5	1	3	1	1	3	536	258	196	69	0.000000	3,200
5	1	3	1	1	4	789	279	49	49	62.411118	~~.
5	1	3	1	1	5	854	282	120	45	94.028397	4,900
2	1	4	0	0	0	154	446	927	414	-1	
3	1	4	1	0	0	154	446	927	414	-1	
4	1	4	1	1	0	154	446	812	103	-1	
5	1	4	1	1	1	154	470	99	55	93.294167	파
5	1	4	1	1	2	219	442	56	111	93.065674	버
5	1	4	1	1	3	261	470	182	65	76.310226	카스텔
5	1	4	1	1	4	636	476	129	73	21.665665	Smt
5	1	4	1	1	5	868	476	98	40	53.657566	10m
4	1	4	1	2	0	208	595	766	79	-1	
5	1	4	1	2	1	208	604	3	3	81.706810	|
5	1	4	1	2	2	615	618	117	56	86.038109	3,000
5	1	4	1	2	3	793	624	18	13	65.522003	ㆍ
5	1	4	1	2	4	844	595	130	68	96.833359	4,500
4	1	4	1	3	0	154	778	927	82	-1	
5	1	4	1	3	1	154	802	53	55	93.275856	파
5	1	4	1	3	2	223	802	30	55	93.301315	이
5	1	4	1	3	3	275	804	91	52	96.678940	롯트
5	1	4	1	3	4	628	778	85	82	80.104118	501
5	1	4	1	3	5	793	805	9	19	67.378166	=
5	1	4	1	3	6	868	808	98	40	61.227039	1021
5	1	4	1	3	7	1036	780	45	48	30.456642	0
2	1	5	0	0	0	154	923	820	67	-1	
3	1	5	1	0	0	154	923	820	67	-1	
4	1	5	1	1	0	154	923	820	67	-1	
5	1	5	1	1	1	154	950	44	36	93.147232	스
5	1	5	1	1	2	210	946	32	44	63.955601	탬
5	1	5	1	1	3	257	946	75	44	62.355164	다드
5	1	5	1	1	4	614	923	118	67	67.549995	2500
5	1	5	1	1	5	856	950	118	40	89.401993	3.500
