level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1214	906	-1	
2	1	1	0	0	0	131	40	893	462	-1	
3	1	1	1	0	0	131	40	893	462	-1	
4	1	1	1	1	0	165	40	859	162	-1	
5	1	1	1	1	1	165	75	214	127	58.055557	플래티넘
5	1	1	1	1	2	415	40	20	82	33.009125	|
5	1	1	1	1	3	460	108	58	28	10.323952	©
5	1	1	1	1	4	656	96	145	54	0.000000	Smt
5	1	1	1	1	5	843	102	181	48	41.520195	102
4	1	1	1	2	0	139	216	859	94	-1	
5	1	1	1	2	1	139	294	3	8	68.067871	|
5	1	1	1	2	2	174	220	182	74	96.958580	스탠다드
5	1	1	1	2	3	371	216	23	68	26.184166	`
5	1	1	1	2	4	611	218	141	88	47.403313	4,000
5	1	1	1	2	5	776	267	16	16	41.078598	1.
5	1	1	1	2	6	876	233	122	77	96.059357	6,500
4	1	1	1	3	0	131	328	863	83	-1	
5	1	1	1	3	1	131	330	150	65	20.872543	카본
5	1	1	1	3	2	634	328	141	83	91.597641	4,500.
5	1	1	1	3	3	846	350	148	45	49.791908	 7,500
4	1	1	1	4	0	173	433	842	69	-1	
5	1	1	1	4	1	173	444	132	48	70.648674	클래식
5	1	1	1	4	2	634	439	118	63	85.580513	4,600
5	1	1	1	4	3	875	436	140	57	48.265686	7,700
