level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2334	1814	-1	
2	1	1	0	0	0	1	1352	109	30	-1	
3	1	1	1	0	0	1	1352	109	30	-1	
4	1	1	1	1	0	1	1352	109	30	-1	
5	1	1	1	1	1	1	1380	3	2	0.000000	.
5	1	1	1	1	2	36	1352	74	24	0.000000	겨
2	1	2	0	0	0	296	850	606	110	-1	
3	1	2	1	0	0	296	850	606	110	-1	
4	1	2	1	1	0	296	850	606	110	-1	
5	1	2	1	1	1	296	858	70	93	57.876427	.3
5	1	2	1	1	2	395	857	93	87	91.233337	오
5	1	2	1	1	3	498	850	74	110	89.595634	이
5	1	2	1	1	4	586	850	196	110	93.096024	스
5	1	2	1	1	5	712	846	104	118	93.040146	터
5	1	2	1	1	6	798	858	104	86	91.150032	스
2	1	3	0	0	0	244	1087	764	149	-1	
3	1	3	1	0	0	244	1087	764	149	-1	
4	1	3	1	1	0	244	1087	764	149	-1	
5	1	3	1	1	1	244	1093	452	143	37.159328	“gaan
5	1	3	1	1	2	728	1087	280	146	66.624352	aga
2	1	4	0	0	0	314	1314	452	119	-1	
3	1	4	1	0	0	314	1314	452	119	-1	
4	1	4	1	1	0	314	1314	452	119	-1	
5	1	4	1	1	1	314	1338	168	95	93.242973	아
5	1	4	1	1	2	410	1310	90	178	93.293320	이
5	1	4	1	1	3	499	1338	74	95	93.110817	서
5	1	4	1	1	4	599	1314	101	118	93.286957	울
5	1	4	1	1	5	699	1310	68	178	93.296143	유
2	1	5	0	0	0	312	1704	268	88	-1	
3	1	5	1	0	0	312	1704	268	88	-1	
4	1	5	1	1	0	312	1704	268	88	-1	
5	1	5	1	1	1	312	1704	182	88	85.810478	IWI
5	1	5	1	1	2	567	1770	13	8	88.571678	.
