level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1214	908	-1	
2	1	1	0	0	0	145	36	25	25	-1	
3	1	1	1	0	0	145	36	25	25	-1	
4	1	1	1	1	0	145	36	25	25	-1	
5	1	1	1	1	1	145	36	25	25	95.000000	 
2	1	2	0	0	0	79	657	70	25	-1	
3	1	2	1	0	0	79	657	70	25	-1	
4	1	2	1	1	0	79	657	70	25	-1	
5	1	2	1	1	1	79	657	70	25	95.000000	 
2	1	3	0	0	0	163	302	21	22	-1	
3	1	3	1	0	0	163	302	21	22	-1	
4	1	3	1	1	0	163	302	21	22	-1	
5	1	3	1	1	1	163	302	21	22	95.000000	 
2	1	4	0	0	0	289	892	15	13	-1	
3	1	4	1	0	0	289	892	15	13	-1	
4	1	4	1	1	0	289	892	15	13	-1	
5	1	4	1	1	1	289	892	15	13	95.000000	 
2	1	5	0	0	0	718	392	52	48	-1	
3	1	5	1	0	0	718	392	52	48	-1	
4	1	5	1	1	0	718	392	52	48	-1	
5	1	5	1	1	1	718	392	52	48	95.000000	 
2	1	6	0	0	0	880	158	30	24	-1	
3	1	6	1	0	0	880	158	30	24	-1	
4	1	6	1	1	0	880	158	30	24	-1	
5	1	6	1	1	1	880	158	30	24	95.000000	 
2	1	7	0	0	0	1154	317	21	7	-1	
3	1	7	1	0	0	1154	317	21	7	-1	
4	1	7	1	1	0	1154	317	21	7	-1	
5	1	7	1	1	1	1154	317	21	7	26.859840	~
