level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2428	1978	-1	
2	1	1	0	0	0	221	11	1843	433	-1	
3	1	1	1	0	0	221	11	1931	456	-1	
4	1	1	1	1	0	287	11	1777	161	-1	
5	1	1	1	1	1	287	36	31	12	67.397255	_
5	1	1	1	1	2	354	63	98	87	86.770981	오
5	1	1	1	1	3	470	56	198	110	96.624893	로라
5	1	1	1	1	4	989	35	477	119	32.394958	Sm
5	1	1	1	1	5	1722	11	342	161	7.788734	“110ml
4	1	1	1	2	0	221	298	1765	146	-1	
5	1	1	1	2	1	221	317	603	150	43.658619	Ame
5	1	1	1	2	2	1072	306	434	136	39.898689	4,500
5	1	1	1	2	3	1686	298	300	146	39.898689	7,500
5	1	1	1	2	4	2045	312	107	92	76.660965	_
2	1	2	0	0	0	284	500	1702	159	-1	
3	1	2	1	0	0	284	500	1702	170	-1	
4	1	2	1	1	0	284	500	1702	159	-1	
5	1	2	1	1	1	284	515	408	144	35.736496	100%
5	1	2	1	1	2	947	503	237	167	42.707184	ㆍ.
5	1	2	1	1	3	1218	500	288	142	34.426834	4,700
5	1	2	1	1	4	1611	548	17	102	33.806290	、
5	1	2	1	1	5	1750	518	236	136	52.941750	71900
2	1	3	0	0	0	261	894	1808	822	-1	
3	1	3	1	0	0	261	894	1808	832	-1	
4	1	3	1	1	0	266	894	1781	173	-1	
5	1	3	1	1	1	266	976	73	83	90.990250	…
5	1	3	1	1	2	350	920	92	110	91.926491	워
5	1	3	1	1	3	468	920	76	110	93.277344	터
5	1	3	1	1	4	576	920	84	106	93.227348	맨
5	1	3	1	1	5	712	917	74	150	59.273304	7
5	1	3	1	1	6	840	904	33	71	0.000000	:
5	1	3	1	1	7	980	926	94	140	35.994843	7
5	1	3	1	1	8	1136	1039	7	5	0.000000	—
5	1	3	1	1	9	1312	930	154	96	45.660851	Smb
5	1	3	1	1	10	1651	959	75	92	49.758423	0
5	1	3	1	1	11	1776	930	189	82	12.373795	10ml
5	1	3	1	1	12	2019	894	28	157	59.034729	、
4	1	3	1	2	0	1159	1182	910	152	-1	
5	1	3	1	2	1	1159	1216	347	118	28.719986	_-4,000
5	1	3	1	2	2	1608	1244	104	82	39.749641	 -
5	1	3	1	2	3	1752	1182	239	152	40.467644	6,500
5	1	3	1	2	4	2025	1178	40	160	53.742542	-
4	1	3	1	3	0	261	1560	1713	156	-1	
5	1	3	1	3	1	261	1584	17	26	15.598419	。
5	1	3	1	3	2	329	1568	235	128	89.112366	잉크
5	1	3	1	3	3	604	1586	521	112	92.663017	인스티튜트
5	1	3	1	3	4	1318	1560	222	156	40.320278	Sm
5	1	3	1	3	5	1754	1599	220	81	37.712059	10m
2	1	4	0	0	0	1270	1840	825	134	-1	
3	1	4	1	0	0	1270	1840	825	134	-1	
4	1	4	1	1	0	1270	1840	825	134	-1	
5	1	4	1	1	1	1270	1840	276	134	83.415565	5.700-
5	1	4	1	1	2	1751	1884	236	90	71.507050	9,900
5	1	4	1	1	3	2062	1919	33	14	89.445335	-
