level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1166	906	-1	
2	1	1	0	0	0	72	96	1009	549	-1	
3	1	1	1	0	0	72	96	894	82	-1	
4	1	1	1	1	0	72	96	894	78	-1	
5	1	1	1	1	1	72	169	8	5	17.663528	.
5	1	1	1	1	2	154	110	53	55	90.781021	카
5	1	1	1	1	3	219	110	69	55	92.913498	웨
5	1	1	1	1	4	287	93	46	90	92.549767	코
5	1	1	1	1	5	367	108	7	13	36.139736	：
5	1	1	1	1	6	423	134	2	2	81.297279	ㆍ
5	1	1	1	1	7	636	96	77	60	75.951195	521
5	1	1	1	1	8	834	106	132	50	27.533363	10721
3	1	1	2	0	0	149	228	932	417	-1	
4	1	1	2	1	0	278	228	696	82	-1	
5	1	1	2	1	1	278	228	4	2	83.501350	|
5	1	1	2	1	2	518	237	14	43	42.030258	-
5	1	1	2	1	3	570	273	6	29	68.342842	-
5	1	1	2	1	4	614	258	118	45	86.977219	4,000
5	1	1	2	1	5	831	233	143	77	74.988586	6,500
4	1	1	2	2	0	149	433	932	69	-1	
5	1	1	2	2	1	149	442	58	55	93.294762	카
5	1	1	2	2	2	217	433	35	64	89.907883	키
5	1	1	2	2	3	271	442	89	55	97.011055	모리
5	1	1	2	2	4	632	439	81	63	84.107643	5ml
5	1	1	2	2	5	850	436	116	52	60.989338	10241
4	1	1	2	3	0	154	562	832	83	-1	
5	1	1	2	3	1	154	572	45	62	93.293411	피
5	1	1	2	3	2	206	564	38	62	93.270027	그
5	1	1	2	3	3	251	586	84	46	96.919174	먼트
5	1	1	2	3	4	500	562	4	2	18.479523	-
5	1	1	2	3	5	610	590	122	55	35.991043	 6.600
5	1	1	2	3	6	845	574	141	61	31.950493	11.700
2	1	2	0	0	0	152	776	901	70	-1	
3	1	2	1	0	0	152	776	901	70	-1	
4	1	2	1	1	0	152	776	901	70	-1	
5	1	2	1	1	1	152	779	85	51	93.288376	콘
5	1	2	1	1	2	264	757	84	94	90.414001	클린
5	1	2	1	1	3	636	782	77	40	43.588173	(Sm
5	1	2	1	1	4	868	782	98	40	61.678513	1024
