level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2428	1978	-1	
2	1	1	0	0	0	224	560	712	152	-1	
3	1	1	1	0	0	58	560	878	170	-1	
4	1	1	1	1	0	224	560	712	152	-1	
5	1	1	1	1	1	58	560	878	170	20.267883	spon»
2	1	2	0	0	0	96	1082	22	12	-1	
3	1	2	1	0	0	96	1082	22	12	-1	
4	1	2	1	1	0	96	1082	22	12	-1	
5	1	2	1	1	1	96	1082	22	12	54.939362	wa
2	1	3	0	0	0	70	1097	48	56	-1	
3	1	3	1	0	0	70	1097	48	56	-1	
4	1	3	1	1	0	97	1097	10	13	-1	
5	1	3	1	1	1	97	1097	10	13	30.412064	®
4	1	3	1	2	0	70	1126	48	27	-1	
5	1	3	1	2	1	70	1126	48	27	26.839020	or
2	1	4	0	0	0	389	0	736	48	-1	
3	1	4	1	0	0	389	0	736	48	-1	
4	1	4	1	1	0	389	0	736	48	-1	
5	1	4	1	1	1	389	0	175	46	57.321037	0
5	1	4	1	1	2	622	0	503	48	44.865986	2"
2	1	5	0	0	0	790	458	24	12	-1	
3	1	5	1	0	0	790	458	24	12	-1	
4	1	5	1	1	0	790	458	24	12	-1	
5	1	5	1	1	1	790	458	24	12	71.230621	~
2	1	6	0	0	0	287	768	31	12	-1	
3	1	6	1	0	0	287	768	31	12	-1	
4	1	6	1	1	0	287	768	31	12	-1	
5	1	6	1	1	1	287	768	31	12	26.887665	~
2	1	7	0	0	0	318	890	272	102	-1	
3	1	7	1	0	0	318	890	272	102	-1	
4	1	7	1	1	0	318	890	272	102	-1	
5	1	7	1	1	1	318	890	200	102	43.660740	시정
5	1	7	1	1	2	575	981	15	8	72.750847	.
2	1	8	0	0	0	221	1068	698	126	-1	
3	1	8	1	0	0	221	1068	698	126	-1	
4	1	8	1	1	0	324	1068	595	75	-1	
5	1	8	1	1	1	324	1068	271	75	53.414806	57).
4	1	8	1	2	0	221	1086	603	108	-1	
5	1	8	1	2	1	221	1086	297	108	39.740982	츄
5	1	8	1	2	2	485	1082	73	116	91.956703	치
5	1	8	1	2	3	604	1158	101	36	28.336288	ㆍ.
2	1	9	0	0	0	329	1280	363	111	-1	
3	1	9	1	0	0	329	1280	363	111	-1	
4	1	9	1	1	0	329	1280	363	111	-1	
5	1	9	1	1	1	329	1280	363	111	54.338474	로코코
2	1	10	0	0	0	329	1934	342	44	-1	
3	1	10	1	0	0	329	1934	342	44	-1	
4	1	10	1	1	0	329	1934	342	44	-1	
5	1	10	1	1	1	329	1934	282	44	19.782074	가
5	1	10	1	1	2	481	1930	42	48	52.595840	개
5	1	10	1	1	3	550	1930	81	48	34.535217	오기
2	1	11	0	0	0	1318	0	656	40	-1	
3	1	11	1	0	0	1318	0	656	40	-1	
4	1	11	1	1	0	1318	0	656	40	-1	
5	1	11	1	1	1	1318	0	38	30	48.625412	7
5	1	11	1	1	2	1371	0	19	28	50.227119	조
5	1	11	1	1	3	1402	0	16	28	60.364937	포
5	1	11	1	1	4	1424	0	52	28	58.671951	포고
5	1	11	1	1	5	1519	10	21	30	42.816051	~
5	1	11	1	1	6	1692	2	5	6	0.000000	‘
5	1	11	1	1	7	1777	0	197	30	29.345673	AViLiL
2	1	12	0	0	0	1270	190	825	134	-1	
3	1	12	1	0	0	1270	190	825	134	-1	
4	1	12	1	1	0	1270	190	825	134	-1	
5	1	12	1	1	1	1270	190	276	134	23.829178	5.700.
5	1	12	1	1	2	1751	234	236	90	72.925987	9,900
5	1	12	1	1	3	2062	269	33	14	74.372368	-
2	1	13	0	0	0	1129	572	885	153	-1	
3	1	13	1	0	0	1129	572	885	153	-1	
4	1	13	1	1	0	1129	572	885	153	-1	
5	1	13	1	1	1	1129	606	123	48	20.637650	a
5	1	13	1	1	2	1312	572	191	148	54.544838	Sml
5	1	13	1	1	3	1562	642	12	10	49.815384	ㆍ
5	1	13	1	1	4	1776	612	238	113	41.764755	10ml
2	1	14	0	0	0	1268	861	804	323	-1	
3	1	14	1	0	0	1268	861	884	323	-1	
