level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2334	1816	-1	
2	1	1	0	0	0	116	24	1862	775	-1	
3	1	1	1	0	0	116	24	1862	784	-1	
4	1	1	1	1	0	314	24	1664	196	-1	
5	1	1	1	1	1	314	84	124	95	90.259163	시
5	1	1	1	1	2	458	74	82	105	93.173424	키
5	1	1	1	1	3	586	84	56	136	91.467712	오
5	1	1	1	1	4	641	20	77	204	84.179085	러
5	1	1	1	1	5	729	74	87	145	74.878433	:-
5	1	1	1	1	6	938	121	36	78	75.604370	ㆍ
5	1	1	1	1	7	1234	41	304	165	56.264679	 6,500
5	1	1	1	1	8	1521	20	64	204	61.400547	ㆍ
5	1	1	1	1	9	1696	30	282	163	63.381886	11,500
4	1	1	1	2	0	136	216	1816	200	-1	
5	1	1	1	2	1	136	314	22	68	40.765526	ㆍ
5	1	1	1	2	2	314	268	168	151	56.388390	신
5	1	1	1	2	3	429	227	115	227	88.329002	형
5	1	1	1	2	4	524	280	182	134	78.621826	젠
5	1	1	1	2	5	656	227	87	227	73.982231	들
5	1	1	1	2	6	967	226	97	182	0.000000	-
5	1	1	1	2	7	1236	288	288	128	35.455956	3,700.
5	1	1	1	2	8	1583	216	39	140	34.998161	«
5	1	1	1	2	9	1663	245	289	158	1.061462	*5,900
4	1	1	1	3	0	116	420	1836	200	-1	
5	1	1	1	3	1	116	481	46	139	32.215607	'
5	1	1	1	3	2	226	428	43	129	54.697647	.
5	1	1	1	3	3	326	466	76	108	89.489983	유
5	1	1	1	3	4	431	480	65	95	93.273750	라
5	1	1	1	3	5	535	430	106	176	92.897278	메
5	1	1	1	3	6	683	600	7	4	73.611923	쿠
5	1	1	1	3	7	1052	425	97	193	0.000000	:
5	1	1	1	3	8	1234	420	236	158	71.101639	5,000
5	1	1	1	3	9	1658	421	294	175	69.061752	8,500
4	1	1	1	4	0	148	616	1804	183	-1	
5	1	1	1	4	1	316	676	76	94	51.802097	킹
5	1	1	1	4	2	414	676	68	94	86.899513	덤
5	1	1	1	4	3	495	668	180	90	96.736176	노트
5	1	1	1	4	4	1179	632	330	167	50.571522	4,500
5	1	1	1	4	5	1566	686	45	44	66.624741	©
5	1	1	1	4	6	1714	616	238	158	79.038132	7,500
2	1	2	0	0	0	1874	1000	33	15	-1	
3	1	2	1	0	0	1874	1000	33	15	-1	
4	1	2	1	1	0	1874	1000	33	15	-1	
5	1	2	1	1	1	1874	1000	33	15	92.415543	~
