level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2334	1814	-1	
2	1	1	0	0	0	88	190	1866	618	-1	
3	1	1	1	0	0	88	190	1866	644	-1	
4	1	1	1	1	0	141	190	1799	157	-1	
5	1	1	1	1	1	313	228	110	100	83.031181	몬
5	1	1	1	1	2	437	222	79	110	92.520065	테
5	1	1	1	1	3	530	192	321	140	79.955772	베르데
5	1	1	1	1	4	1278	190	154	124	0.000000	ml
5	1	1	1	1	5	1742	211	198	107	50.905956	10m
4	1	1	1	2	0	88	464	1866	164	-1	
5	1	1	1	2	1	88	502	155	102	0.000000	 .
5	1	1	1	2	2	315	488	374	140	74.091179	스탠다드
5	1	1	1	2	3	797	552	12	60	62.171295	：
5	1	1	1	2	4	946	563	6	4	74.136414	ㆍ
5	1	1	1	2	5	1032	470	125	170	74.136414	ㆍ:
5	1	1	1	2	6	1234	518	238	90	69.338936	4;500
5	1	1	1	2	7	1665	464	289	154	47.479027	 7,500
4	1	1	1	3	0	228	672	1490	136	-1	
5	1	1	1	3	1	228	672	12	10	2.882225	_
5	1	1	1	3	2	327	710	69	95	67.529922	세
5	1	1	1	3	3	431	710	115	94	93.176544	척
5	1	1	1	3	4	586	690	33	112	92.551575	액
5	1	1	1	3	5	618	690	243	115	56.889690	(3000)
5	1	1	1	3	6	1252	735	100	99	83.922836	…
5	1	1	1	3	7	1477	708	241	100	8.729942	4,500
2	1	2	0	0	0	164	1046	1774	146	-1	
3	1	2	1	0	0	164	1046	1774	146	-1	
4	1	2	1	1	0	164	1046	1774	146	-1	
5	1	2	1	1	1	164	1148	7	8	17.534073	_
5	1	2	1	1	2	304	1050	432	142	94.854843	비스콘티
5	1	2	1	1	3	995	1120	13	8	64.362366	ㆍ
5	1	2	1	1	4	1276	1046	228	132	44.687824	521
5	1	2	1	1	5	1740	1100	91	78	83.830017	10
5	1	2	1	1	6	1848	1097	87	79	75.502197	교
2	1	3	0	0	0	312	1337	1717	363	-1	
3	1	3	1	0	0	312	1337	1717	363	-1	
4	1	3	1	1	0	312	1337	1717	167	-1	
5	1	3	1	1	1	312	1374	362	95	63.836044	스탠다드
5	1	3	1	1	2	878	1358	74	110	60.317074	ㆍ
5	1	3	1	1	3	1124	1354	384	150	0.000000	 :3,700、
5	1	3	1	1	4	1602	1424	10	12	87.202507	ㆍ
5	1	3	1	1	5	1714	1382	237	97	24.022690	5,900
5	1	3	1	1	6	2003	1337	26	65	48.399422	ㆍ
4	1	3	1	2	0	312	1531	1653	169	-1	
5	1	3	1	2	1	312	1570	140	91	93.111847	반
5	1	3	1	2	2	494	1576	69	76	92.926323	고
5	1	3	1	2	3	562	1525	78	177	49.103798	흐
5	1	3	1	2	4	932	1578	538	120	15.069366	 5,000
5	1	3	1	2	5	1669	1531	296	169	19.734879	8,500
2	1	4	0	0	0	316	1754	1635	60	-1	
3	1	4	1	0	0	316	1754	1635	60	-1	
4	1	4	1	1	0	316	1754	1635	60	-1	
5	1	4	1	1	1	316	1754	75	60	14.679184	Co)
5	1	4	1	1	2	428	1754	57	60	76.292282	-7
5	1	4	1	1	3	506	1754	92	60	71.938095	OT
5	1	4	1	1	4	829	1782	61	15	33.266769	>.
5	1	4	1	1	5	1237	1778	233	36	26.758163	CANN
5	1	4	1	1	6	1672	1778	88	36	68.510185	“A
5	1	4	1	1	7	1798	1778	153	36	72.722031	nnn
