level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2428	1816	-1	
2	1	1	0	0	0	374	0	1616	70	-1	
3	1	1	1	0	0	374	0	1616	70	-1	
4	1	1	1	1	0	374	0	1616	70	-1	
5	1	1	1	1	1	374	0	249	39	26.525864	=
5	1	1	1	1	2	783	1	90	56	0.000000	a
5	1	1	1	1	3	1019	8	55	28	42.707077	ve
5	1	1	1	1	4	1271	0	55	70	15.854355	LE
5	1	1	1	1	5	1360	0	149	70	0.000000	eatin
5	1	1	1	1	6	1684	41	21	11	0.000000	_
5	1	1	1	1	7	1754	0	236	42	22.778717	eres
2	1	2	0	0	0	350	686	1626	175	-1	
3	1	2	1	0	0	350	686	1626	175	-1	
4	1	2	1	1	0	350	686	1626	175	-1	
5	1	2	1	1	1	350	724	326	124	96.282845	로버트
5	1	2	1	1	2	703	724	303	114	87.589584	오스터
5	1	2	1	1	3	1314	713	250	148	16.619354	Smi-
5	1	2	1	1	4	1754	686	222	170	44.849457	10m
2	1	3	0	0	0	260	972	1769	375	-1	
3	1	3	1	0	0	260	972	1769	375	-1	
4	1	3	1	1	0	260	972	1769	180	-1	
5	1	3	1	1	1	260	1016	452	136	51.302910	스탠다드
5	1	3	1	1	2	1183	972	363	142	44.150841	4,500
5	1	3	1	1	3	1685	1024	344	108	73.511589	7.500.
4	1	3	1	2	0	274	1190	1715	157	-1	
5	1	3	1	2	1	274	1245	24	102	79.257851	ㆍ
5	1	3	1	2	2	352	1206	238	101	92.829597	쉐이크
5	1	3	1	2	3	657	1212	57	91	93.041763	앤
5	1	3	1	2	4	775	1190	79	117	91.602982	쉬
5	1	3	1	2	5	868	1212	73	95	92.880898	머
5	1	3	1	2	6	1064	1289	16	53	53.955990	_
5	1	3	1	2	7	1253	1220	313	122	65.606842	5,300.
5	1	3	1	2	8	1753	1218	236	92	51.982399	9,100
