level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2428	1814	-1	
2	1	1	0	0	0	266	80	494	361	-1	
3	1	1	1	0	0	266	80	494	361	-1	
4	1	1	1	1	0	266	80	48	14	-1	
5	1	1	1	1	1	266	80	10	10	92.166451	ㅋ
5	1	1	1	1	2	306	92	8	2	79.706459	-
4	1	1	1	2	0	292	128	47	15	-1	
5	1	1	1	2	1	292	136	8	4	26.724243	-
5	1	1	1	2	2	313	128	26	15	21.267174	ve
4	1	1	1	3	0	282	146	478	26	-1	
5	1	1	1	3	1	282	165	5	7	41.068893	>
5	1	1	1	3	2	326	156	7	7	85.513084	s
5	1	1	1	3	3	736	146	24	25	35.369476	_
4	1	1	1	4	0	596	302	75	26	-1	
5	1	1	1	4	1	596	302	15	26	45.792305	(시
5	1	1	1	4	2	667	318	4	4	74.503555	.
4	1	1	1	5	0	329	270	79	78	-1	
5	1	1	1	5	1	329	336	17	12	24.271744	.
5	1	1	1	5	2	396	270	12	54	71.099091	|
4	1	1	1	6	0	305	360	450	23	-1	
5	1	1	1	6	1	305	376	9	7	78.529228	.
5	1	1	1	6	2	422	378	8	5	60.167480	=
5	1	1	1	6	3	750	360	5	4	32.332321	.
4	1	1	1	7	0	324	396	268	8	-1	
5	1	1	1	7	1	324	396	13	8	73.758865	.
5	1	1	1	7	2	583	397	9	5	39.310692	-
4	1	1	1	8	0	558	428	200	13	-1	
5	1	1	1	8	1	558	435	8	6	40.898628	.
5	1	1	1	8	2	748	428	10	8	27.578918	.
2	1	2	0	0	0	319	862	235	185	-1	
3	1	2	1	0	0	319	862	235	185	-1	
4	1	2	1	1	0	319	862	235	185	-1	
5	1	2	1	1	1	319	862	235	185	94.385422	쉐퍼
2	1	3	0	0	0	124	1349	174	27	-1	
3	1	3	1	0	0	124	1349	174	27	-1	
4	1	3	1	1	0	124	1349	174	27	-1	
5	1	3	1	1	1	124	1358	8	10	64.022308	+
5	1	3	1	1	2	184	1349	6	6	0.000000	°
5	1	3	1	1	3	224	1352	74	24	47.341789	ys
2	1	4	0	0	0	287	1522	381	130	-1	
3	1	4	1	0	0	287	1522	381	130	-1	
4	1	4	1	1	0	287	1522	381	130	-1	
5	1	4	1	1	1	287	1522	381	130	53.788834	오로라
2	1	5	0	0	0	1159	397	21	15	-1	
3	1	5	1	0	0	1159	397	21	15	-1	
4	1	5	1	1	0	1159	397	21	15	-1	
5	1	5	1	1	1	1155	393	10	26	43.505600	|
5	1	5	1	1	2	1174	397	6	15	59.030121	그
2	1	6	0	0	0	1312	190	736	116	-1	
3	1	6	1	0	0	1312	190	736	116	-1	
4	1	6	1	1	0	1312	190	736	116	-1	
5	1	6	1	1	1	1312	224	154	82	73.465210	521
5	1	6	1	1	2	1682	199	300	107	30.615814	10721
2	1	7	0	0	0	1569	422	19	8	-1	
3	1	7	1	0	0	1569	422	19	8	-1	
4	1	7	1	1	0	1569	422	19	8	-1	
5	1	7	1	1	1	1569	422	19	8	93.688629	~
2	1	8	0	0	0	1220	463	787	155	-1	
3	1	8	1	0	0	1220	463	787	155	-1	
4	1	8	1	1	0	1220	463	787	155	-1	
5	1	8	1	1	1	1220	470	366	133	65.157364	-4;300°-
5	1	8	1	1	2	1750	463	257	155	68.977898	7,100
2	1	9	0	0	0	1767	708	32	16	-1	
3	1	9	1	0	0	1767	708	32	16	-1	
4	1	9	1	1	0	1767	708	32	16	-1	
5	1	9	1	1	1	1767	708	32	16	36.965569	Pad
2	1	10	0	0	0	1692	734	100	28	-1	
3	1	10	1	0	0	1692	734	100	28	-1	
4	1	10	1	1	0	1754	734	38	17	-1	
5	1	10	1	1	1	1754	734	38	17	19.449371	“ny
4	1	10	1	2	0	1692	755	5	7	-1	
5	1	10	1	2	1	1692	755	5	7	70.710739	‘
2	1	11	0	0	0	1312	844	723	158	-1	
3	1	11	1	0	0	1312	844	723	158	-1	
4	1	11	1	1	0	1312	844	723	158	-1	
5	1	11	1	1	1	1312	844	198	158	0.000000	Sm
5	1	11	1	1	2	1558	856	6	4	64.087051	|
5	1	11	1	1	3	1776	868	198	102	40.734154	10m]
5	1	11	1	1	4	2016	876	19	13	68.779648	©
2	1	12	0	0	0	1183	1120	846	170	-1	
3	1	12	1	0	0	1183	1120	846	170	-1	
4	1	12	1	1	0	1183	1120	846	170	-1	
5	1	12	1	1	1	1183	1120	323	170	51.778416	4,600
5	1	12	1	1	2	1685	1125	344	139	45.062576	7,700
2	1	13	0	0	0	2090	1457	26	16	-1	
3	1	13	1	0	0	2090	1457	26	16	-1	
4	1	13	1	1	0	2090	1457	26	16	-1	
5	1	13	1	1	1	2090	1457	26	16	54.529907	~
2	1	14	0	0	0	1312	1500	752	151	-1	
3	1	14	1	0	0	1312	1500	752	151	-1	
4	1	14	1	1	0	1312	1500	752	151	-1	
5	1	14	1	1	1	1312	1500	154	134	53.149750	Sml
5	1	14	1	1	2	1722	1501	4	8	70.009689	|
5	1	14	1	1	3	1776	1531	197	103	0.000000	10ml
